timestamp,model,is_final,seed,mae_METR-LA,mae_PEMS-BAY,mae_PEMS04,mape_METR-LA,mape_PEMS-BAY,mape_PEMS04,rmse_METR-LA,rmse_PEMS-BAY,rmse_PEMS04,mae_METR-LA_std,mae_PEMS-BAY_std,mae_PEMS04_std,mape_METR-LA_std,mape_PEMS-BAY_std,mape_PEMS04_std,rmse_METR-LA_std,rmse_PEMS-BAY_std,rmse_PEMS04_std
2026-03-31T08:02:18.699999+00:00,baseline:astgcn,true,42,7.055342,3.045008,56.717757,0.177681,0.068569,0.795772,10.881918,5.964571,71.970476,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:astgcn,true,123,6.557414,2.966404,51.927282,0.172232,0.065289,0.72442,10.582815,5.724827,67.801964,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:astgcn,true,456,6.375516,2.952939,58.246273,0.16743,0.065744,0.790465,10.326158,5.653484,74.956412,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:astgcn,true,mean,6.6627573333333325,2.9881170000000004,55.63043733333333,0.17244766666666667,0.066534,0.770219,10.596963666666667,5.780960666666666,71.576284,0.28736012362809743,0.04060185518749938,2.69185312348951,0.004187730836091975,0.0014509020182860988,0.03245717550866067,0.22710853936144523,0.13305893880115283,2.934061127041495
2026-03-31T08:02:18.699999+00:00,baseline:dcrnn,true,42,4.78977,,,0.134142,,,8.698584,,,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:dcrnn,true,123,4.944052,,,0.136828,,,8.819558,,,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:dcrnn,true,456,4.881768,,,0.138907,,,8.876004,,,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:dcrnn,true,mean,4.871863333333334,,,0.13662566666666667,,,8.798048666666666,,,0.06337355230342992,,,0.0019505572423170621,,,0.07401104721744053,,
2026-03-31T08:02:18.699999+00:00,baseline:gwnet,true,42,4.168135,2.348676,31.426088,0.122715,0.057588,0.383431,8.055083,5.052351,44.725654,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:gwnet,true,123,4.005037,2.319327,34.673346,0.114398,0.05557,0.423722,7.777524,5.089595,49.604506,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:gwnet,true,456,4.288118,2.251308,34.058001,0.124936,0.053788,0.347493,8.273479,4.860866,47.474358,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:gwnet,true,mean,4.153763333333334,2.3064370000000003,33.38581166666666,0.120683,0.05564866666666667,0.384882,8.035362,5.000937333333334,47.268172666666665,0.11601328010859607,0.04078190718934084,1.408320513833489,0.004535719641541648,0.0015523404552123502,0.03113726771357221,0.20295242281053638,0.1002056641790053,1.9971118318273746
2026-03-31T08:02:18.699999+00:00,baseline:mtgnn,true,42,4.707511,2.303145,34.427187,0.133778,0.055208,0.381709,8.861492,5.070707,48.54691,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:mtgnn,true,123,4.237109,2.220136,31.366573,0.117169,0.052312,0.340185,8.16681,4.728869,45.887843,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:mtgnn,true,456,4.440321,2.485003,32.470125,0.126674,0.059486,0.385245,8.355986,5.329201,46.361983,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:mtgnn,true,mean,4.461647,2.336094666666667,32.754628333333336,0.1258736666666667,0.055668666666666665,0.36904633333333337,8.461429333333333,5.042925666666666,46.932245333333334,0.19263196188241105,0.11061311652883754,1.265581848863028,0.0068041712859751675,0.0029468321220516708,0.02045903623232423,0.2932399389457189,0.24587053424832248,1.158032433119882
2026-03-31T08:02:18.699999+00:00,baseline:staeformer,true,42,4.162563,2.012991,37.545564,0.11363,0.047643,0.475644,8.000581,4.483333,50.684818,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:staeformer,true,123,3.919904,2.172254,28.817097,0.108303,0.050403,0.327962,7.586324,4.721079,40.782001,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:staeformer,true,456,4.001694,2.160123,29.769787,0.106312,0.049542,0.354642,7.605455,4.61557,41.632608,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:staeformer,true,mean,4.028053666666666,2.1151226666666667,32.04414933333334,0.109415,0.049196,0.38608266666666663,7.730786666666667,4.6066606666666665,44.366475666666666,0.10080334515062254,0.07238760617828323,3.9094822385226684,0.0030893029418732386,0.001153021248720077,0.06425926610916818,0.190933209114834,0.09726363587121785,4.4812178737486335
2026-03-31T08:02:18.699999+00:00,baseline:stgcn,true,42,4.480216,2.520217,40.735744,0.12773,0.060377,0.580622,8.704894,5.608081,54.346599,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:stgcn,true,123,4.307881,2.241027,34.692092,0.12217,0.053021,0.442258,8.467255,5.030401,48.227701,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:stgcn,true,456,4.148389,2.283468,33.177553,0.116761,0.054647,0.361983,8.085265,5.169918,48.165236,,,,,,,,,
2026-03-31T08:02:18.699999+00:00,baseline:stgcn,true,mean,4.312162,2.348237333333333,36.201796333333334,0.12222033333333333,0.056015,0.461621,8.419137999999998,5.269466666666666,50.246511999999996,0.13550162287589054,0.12283610742322028,3.265064387183843,0.004478216931870197,0.0031550226623591787,0.09030299886862377,0.25524035558273295,0.24611785574711065,2.899311472830861
